# time,euler_x,euler_y,euler_z
7.507516384124755859e+00,-1.699974604565118730e-01,-4.435319269225206362e-01,2.068328378722799510e+00
7.590033531188964844e+00,-1.371851217283988067e-01,-3.290837345809276560e-01,2.054550474342645927e+00
7.673438310623168945e+00,-1.123586181770231951e-01,-1.955685047634596607e-01,2.033444607592679088e+00
7.760198831558227539e+00,-9.823373966132320501e-02,-9.565881985069890625e-02,2.015480735203578622e+00
7.844770908355712891e+00,-1.309007255375492784e-01,-2.126728328309557270e-02,2.009124733659274575e+00
7.927958726882934570e+00,-1.744417809100562433e-01,2.696153635152276351e-02,2.002193674994591888e+00
8.010326147079467773e+00,-1.739547218225128145e-01,5.931170634162397093e-02,1.964186533576666394e+00
8.091427564620971680e+00,-1.393849432586691250e-01,1.015295298068976670e-01,1.938668686684698717e+00
8.173043727874755859e+00,-1.030643051607867955e-01,9.077767700467731515e-02,1.962404464073241872e+00
8.256941318511962891e+00,-8.260565692061361265e-02,9.350518563456677867e-02,1.966472724699327213e+00
8.342099189758300781e+00,-7.460451674912971232e-02,-5.569932330928395459e-03,1.993341920132396528e+00
8.423916816711425781e+00,-5.442158046000666882e-02,-8.869622013406730510e-02,2.023726956452191139e+00
8.508287668228149414e+00,-1.815115214154228163e-02,-1.068391845646563532e-01,2.023888980621256550e+00
8.593510627746582031e+00,-6.304229395028171368e-03,-1.013917141468310135e-01,2.036879721975108914e+00
8.677487373352050781e+00,-3.202359829628731447e-02,-5.624694448254174972e-02,2.041911184588887540e+00
8.761113166809082031e+00,-8.669512226891318285e-02,-1.585909878706392995e-02,2.037289274796274086e+00
8.845478773117065430e+00,-1.044807005044892101e-01,-1.075438556095509313e-02,2.050567292394422925e+00
8.927855968475341797e+00,-1.308636285538702371e-01,1.060016348942305342e-02,2.053720922194103515e+00
9.009991645812988281e+00,-1.497194699084246627e-01,1.531486370376811124e-02,2.087967509657211451e+00
9.095135450363159180e+00,-1.587183885599786626e-01,1.572362633932056220e-02,2.124908683178536428e+00
9.176725864410400391e+00,-1.646432641998236690e-01,1.646786917184561716e-02,2.141797964744157401e+00
9.263657093048095703e+00,-1.986458365465176845e-01,3.161354672196092785e-02,2.197437759233067389e+00
9.349715471267700195e+00,-1.988461265863630256e-01,-3.747638014707455056e-03,2.269366532833299033e+00
9.431236028671264648e+00,-1.275948960381922959e-01,-1.072388683629110773e-01,2.407740680462115535e+00
9.518049478530883789e+00,-7.932832900295871958e-02,-1.246246108793667151e-01,2.511870875437873352e+00
9.607272863388061523e+00,-5.603352994773369566e-02,-2.546884159965066008e-01,2.719652135199461362e+00
9.694669008255004883e+00,2.718906002004262135e-02,-4.193360459877357727e-01,2.858573038382269615e+00
9.776570558547973633e+00,4.853627993006703889e-02,-3.725931140533742525e-01,2.885843885153274169e+00
9.859111309051513672e+00,7.591379600629499791e-02,-2.726165239677107444e-01,2.894923395633134167e+00
9.942021846771240234e+00,9.836518573895780548e-02,-2.880015284859440694e-01,2.906138551561255223e+00
1.002458572387695312e+01,1.472291814780803954e-01,-2.949837611094860979e-01,2.872534460369764009e+00
1.010901737213134766e+01,1.640632243953832337e-01,-3.248637372393363698e-01,2.843903215874749257e+00
1.019251823425292969e+01,1.483064042019923701e-01,-3.330163740035207987e-01,2.853564112164200139e+00
1.027478623390197754e+01,1.451907838854120669e-01,-3.483815257431073231e-01,2.855955602316440078e+00
1.035655236244201660e+01,1.456926128701898637e-01,-3.393283227106842492e-01,2.862975623243390721e+00
1.044165730476379395e+01,1.635974606399537290e-01,-3.407723821930939145e-01,2.849823754708958212e+00
1.052430248260498047e+01,1.624241068323251103e-01,-3.346580508509773288e-01,2.829625627802247578e+00
1.060793161392211914e+01,1.371720820763779880e-01,-3.310087160149137731e-01,2.832011566731981844e+00
1.069115972518920898e+01,1.134818671409960622e-01,-3.244161210515157379e-01,2.847305690989811566e+00
1.077403306961059570e+01,1.124776419339772460e-01,-3.226343024382760660e-01,2.836060321322660283e+00
1.085972428321838379e+01,1.244120201777902945e-01,-3.039447287865979508e-01,2.816849071864830023e+00
1.094226670265197754e+01,1.491817194936737589e-01,-3.068506952640515095e-01,2.832881872862619943e+00
1.102407860755920410e+01,1.452946473912706260e-01,-2.726907069366011349e-01,2.833734851594491122e+00
1.110840487480163574e+01,1.305492890070785172e-01,-2.609755113540968008e-01,2.846586197883210545e+00
1.119162535667419434e+01,1.177254952580384373e-01,-2.861165829113432313e-01,2.854334084832335527e+00
1.127450537681579590e+01,1.233190264837213945e-01,-2.770349803768747954e-01,2.851579076050971384e+00
1.136929941177368164e+01,1.120600391304718002e-01,-2.824874927274021452e-01,2.852854984820602624e+00
1.145837712287902832e+01,1.305332040168314389e-01,-2.940165429686716347e-01,2.835339519626069560e+00
1.154310274124145508e+01,1.393977853934518230e-01,-2.839439627198074856e-01,2.824461378618482232e+00
1.162603855133056641e+01,1.095449277844555702e-01,-2.778480056564658351e-01,2.845714208775298459e+00
1.170944023132324219e+01,1.148815695942380088e-01,-2.730729668706157742e-01,2.841456700594618745e+00
1.179237794876098633e+01,1.087844105929829386e-01,-2.704476045236154924e-01,2.839616648089492656e+00
1.187630486488342285e+01,1.173119903814781040e-01,-2.668187518867330965e-01,2.837093457572941180e+00
1.195963239669799805e+01,1.178959650607467324e-01,-2.607554557183657806e-01,2.835507674442148129e+00
1.204452610015869141e+01,1.025164813949375198e-01,-2.633373809623440476e-01,2.843014207591097353e+00
1.212750625610351562e+01,6.438326273206995687e-02,-2.466384579874418836e-01,2.878663165943596169e+00
1.221222567558288574e+01,-2.871566577853190694e-02,-2.087333521237753065e-01,2.970570279791165280e+00
1.229529070854187012e+01,-4.905490435826442841e-02,-2.014821029460214241e-01,2.986822016966280025e+00
1.237938117980957031e+01,-4.159991189032963277e-02,-1.871878796224577535e-01,2.974810659980491323e+00
1.246317529678344727e+01,8.496797599953698210e-03,-1.805795641586058764e-01,2.926991725128944566e+00
1.254561686515808105e+01,8.785978526517346232e-02,-1.869509309982451128e-01,2.865444743959938201e+00
1.262874078750610352e+01,1.251782403005941013e-01,-3.853128815233775040e-01,2.826466473973836990e+00
1.271254062652587891e+01,1.138453622563448953e-01,-4.228538196557536377e-01,2.835204261546307336e+00
1.279770207405090332e+01,2.977817803631488403e-02,-3.305383411172519992e-01,2.832503844586364394e+00
1.287993311882019043e+01,4.650826337790325837e-02,-3.218156875714435206e-01,2.791539890300809734e+00
1.296256995201110840e+01,4.246493572386955684e-02,-3.263199245230090639e-01,2.760396400341382339e+00
1.304495930671691895e+01,8.197258112739169711e-02,-3.135338921074211083e-01,2.749003996488440293e+00
1.312682557106018066e+01,7.748485197201571140e-02,-3.339160209887861441e-01,2.740044033031256987e+00
1.321102523803710938e+01,6.421946617495177811e-02,-3.316664116547642926e-01,2.734239939675534359e+00
1.329599618911743164e+01,6.408342346597684092e-02,-3.203633683215036942e-01,2.742446118896553209e+00
1.337868714332580566e+01,6.279664801798290341e-02,-3.163966074553103969e-01,2.740387131943359922e+00
1.346244430541992188e+01,7.021765960641612736e-02,-2.994335102099190404e-01,2.731491536654329977e+00
1.354494094848632812e+01,6.342706197992797890e-02,-2.872128819096626540e-01,2.729801391930898546e+00
1.362775516510009766e+01,4.631555328705205810e-02,-2.842212992055765941e-01,2.708669827873338321e+00
1.371051120758056641e+01,1.296573614247531481e-02,-3.038123310417719658e-01,2.713438690770221484e+00
1.379381489753723145e+01,2.747824561721934344e-02,-2.915671739382488248e-01,2.717845963193394443e+00
1.387845063209533691e+01,1.155893809276165030e-02,-2.947938801710296985e-01,2.739073003677363172e+00
1.396151423454284668e+01,3.830909939017157484e-02,-3.003845565598968204e-01,2.750285901979357739e+00
1.404489827156066895e+01,4.829002320372288715e-02,-2.955816661143295665e-01,2.747028600551391087e+00
1.412755036354064941e+01,-1.987407074869551593e-03,-2.459315153267978005e-01,2.761284566717447486e+00
